ID_VENTA,FECHA,NÂ°,NOMBRE,CANTIDAD,PRECIO,TOTAL,TIPO_PAGO,TIPO_PAGO_DETALLE,ORIGEN
3459,2026-02-04,141,CERVEZA AREQUIPEÑA 620ML CAJ,2,7,14,Efectivo,Efectivo,MIGRACION_BASE
3458,2026-02-04,140,CERVEZA PILSEN 620ML CA,2,7,14,Efectivo,Efectivo,MIGRACION_BASE
3457,2026-02-04,139,HALLS,1,1.5,1.5,Efectivo,Efectivo,MIGRACION_BASE
3456,2026-02-04,137,PIQUEO,2,2.5,5,Efectivo,Efectivo,MIGRACION_BASE
3455,2026-02-04,136,360 ENERGIZANTE,1,2.5,2.5,Efectivo,Efectivo,MIGRACION_BASE
3454,2026-02-04,134,GATORADE,1,2.5,2.5,Efectivo,Efectivo,MIGRACION_BASE
3453,2026-02-04,130,SPRITE 2.5L,3,8,24,Efectivo,Efectivo,MIGRACION_BASE
3452,2026-02-04,128,GINGER EVERVESS,1,6.5,6.5,Efectivo,Efectivo,MIGRACION_BASE
3451,2026-02-04,126,AGUA SOCOSANI 1.5L,1,4,4,Efectivo,Efectivo,MIGRACION_BASE
3450,2026-02-04,125,AGUA SOCOSANI 600 ML,1,2,2,Efectivo,Efectivo,MIGRACION_BASE
3449,2026-02-04,124,AGUA CIELO 600 ML,2,1.5,3,Efectivo,Efectivo,MIGRACION_BASE
3448,2026-02-04,121,AGUA SAN LUIS 600ML,1,1.5,1.5,Efectivo,Efectivo,MIGRACION_BASE
3447,2026-02-04,120,AGUA SAN LUIS 2.5L,1,4,4,Efectivo,Efectivo,MIGRACION_BASE
3446,2026-02-04,118,COCA 600 ML,4,3.5,14,Efectivo,Efectivo,MIGRACION_BASE
3445,2026-02-04,115,COCA COLA 2.5L UNI,1,10,10,Efectivo,Efectivo,MIGRACION_BASE
3444,2026-02-04,111,TRES CRUCES UNI,6,4.5,27,Efectivo,Efectivo,MIGRACION_BASE
3443,2026-02-04,98,MIKES UNI,3,6.5,19.5,Efectivo,Efectivo,MIGRACION_BASE
3442,2026-02-04,97,FOUR LOKO UNI,4,12,48,Efectivo,Efectivo,MIGRACION_BASE
3441,2026-02-04,96,SPARK,3,0,0,Efectivo,Efectivo,MIGRACION_BASE
3440,2026-02-04,69,PISCO QUEIROLO ACHOLADO,1,34.5,34.5,Efectivo,Efectivo,MIGRACION_BASE
3439,2026-02-04,52,BARCELO LAPIDA 1.75L,1,75,75,Efectivo,Efectivo,MIGRACION_BASE
3438,2026-02-04,42,CARTAVIO RESERVA 750ML,2,40,80,Efectivo,Efectivo,MIGRACION_BASE
3437,2026-02-04,37,CARTAVIO CHATA 250 ML,1,12,12,Efectivo,Efectivo,MIGRACION_BASE
3436,2026-02-04,36,CARTAVIO PETACA 125ML,1,6.5,6.5,Efectivo,Efectivo,MIGRACION_BASE
3435,2026-02-04,4,Vino Queirolo rose,1,19,19,Efectivo,Efectivo,MIGRACION_BASE
3434,2026-02-02,151,ENCENDEDOR,1,1,1,Efectivo,Efectivo,MIGRACION_BASE
3433,2026-02-02,150,CIGARROS GOLDEN CAJAS (- 2uni),3,4,12,Efectivo,Efectivo,MIGRACION_BASE
3432,2026-02-02,148,CIGARROS PALL MAL (UNIDAD),5,17,85,Efectivo,Efectivo,MIGRACION_BASE
3431,2026-02-02,146,CIGARROS LUCKY 20 UNI (UNIDAD),1,26,26,Efectivo,Efectivo,MIGRACION_BASE
3430,2026-02-02,145,CIGARROS LUCKY 10 UNI (CAJAS),1,14,14,Efectivo,Efectivo,MIGRACION_BASE
3429,2026-02-02,144,HIELO,2,5,10,Efectivo,Efectivo,MIGRACION_BASE
3428,2026-02-02,139,HALLS,1,1.5,1.5,Efectivo,Efectivo,MIGRACION_BASE
3427,2026-02-02,137,PIQUEO,1,2.5,2.5,Efectivo,Efectivo,MIGRACION_BASE
3426,2026-02-02,135,VOLT ENERGIZANTE,1,2.5,2.5,Efectivo,Efectivo,MIGRACION_BASE
3425,2026-02-02,134,GATORADE,1,2.5,2.5,Efectivo,Efectivo,MIGRACION_BASE
3424,2026-02-02,130,SPRITE 2.5L,1,8,8,Efectivo,Efectivo,MIGRACION_BASE
3423,2026-02-02,128,GINGER EVERVESS,1,6.5,6.5,Efectivo,Efectivo,MIGRACION_BASE
3422,2026-02-02,126,AGUA SOCOSANI 1.5L,1,4,4,Efectivo,Efectivo,MIGRACION_BASE
3421,2026-02-02,124,AGUA CIELO 600 ML,2,1.5,3,Efectivo,Efectivo,MIGRACION_BASE
3420,2026-02-02,123,"AGUA CIELO 2,5L",1,4,4,Efectivo,Efectivo,MIGRACION_BASE
3419,2026-02-02,118,COCA 600 ML,4,3.5,14,Efectivo,Efectivo,MIGRACION_BASE
3418,2026-02-02,115,COCA COLA 2.5L UNI,1,10,10,Efectivo,Efectivo,MIGRACION_BASE
3417,2026-02-02,101,PILSEN LATASA UNIDAD,6,6,36,Efectivo,Efectivo,MIGRACION_BASE
3416,2026-02-02,100,HITT 700ML,3,13.5,40.5,Efectivo,Efectivo,MIGRACION_BASE
3415,2026-02-02,98,MIKES UNI,2,6.5,13,Efectivo,Efectivo,MIGRACION_BASE
3414,2026-02-02,97,FOUR LOKO UNI,3,12,36,Efectivo,Efectivo,MIGRACION_BASE
3413,2026-02-02,96,SPARK,2,0,0,Efectivo,Efectivo,MIGRACION_BASE
3412,2026-02-02,93,RED BULL,1,9,9,Efectivo,Efectivo,MIGRACION_BASE
3411,2026-02-02,84,GIN BEEFEATER PINK,1,87,87,Efectivo,Efectivo,MIGRACION_BASE
3410,2026-02-02,75,SMIRNOFF MANZANA,1,38,38,Efectivo,Efectivo,MIGRACION_BASE
3409,2026-02-02,41,CARTAVIO SELECTO 1 LITRO,1,38,38,Efectivo,Efectivo,MIGRACION_BASE
3408,2026-02-02,37,CARTAVIO CHATA 250 ML,3,12,36,Efectivo,Efectivo,MIGRACION_BASE
3407,2026-02-02,4,Vino Queirolo rose,1,19,19,Efectivo,Efectivo,MIGRACION_BASE
3406,2026-02-02,3,Vino Hacienda Abuelo borgoña,3,20,60,Efectivo,Efectivo,MIGRACION_BASE
3405,2026-02-02,2,vino hacienda abuelo rose,1,20,20,Efectivo,Efectivo,MIGRACION_BASE
3404,2026-02-01,151,ENCENDEDOR,1,1,1,Efectivo,Efectivo,MIGRACION_BASE
3403,2026-02-01,150,CIGARROS GOLDEN CAJAS (- 2uni),6,4,24,Efectivo,Efectivo,MIGRACION_BASE
3402,2026-02-01,148,CIGARROS PALL MAL (UNIDAD),2,17,34,Efectivo,Efectivo,MIGRACION_BASE
3401,2026-02-01,146,CIGARROS LUCKY 20 UNI (UNIDAD),31,26,806,Efectivo,Efectivo,MIGRACION_BASE
3400,2026-02-01,145,CIGARROS LUCKY 10 UNI (CAJAS),1,14,14,Efectivo,Efectivo,MIGRACION_BASE
3399,2026-02-01,144,HIELO,3,5,15,Efectivo,Efectivo,MIGRACION_BASE
3398,2026-02-01,139,HALLS,1,1.5,1.5,Efectivo,Efectivo,MIGRACION_BASE
3397,2026-02-01,130,SPRITE 2.5L,1,8,8,Efectivo,Efectivo,MIGRACION_BASE
3396,2026-02-01,126,AGUA SOCOSANI 1.5L,2,4,8,Efectivo,Efectivo,MIGRACION_BASE
3395,2026-02-01,125,AGUA SOCOSANI 600 ML,1,2,2,Efectivo,Efectivo,MIGRACION_BASE
3394,2026-02-01,124,AGUA CIELO 600 ML,2,1.5,3,Efectivo,Efectivo,MIGRACION_BASE
3393,2026-02-01,122,AGUA CIELO 1L,1,2.5,2.5,Efectivo,Efectivo,MIGRACION_BASE
3392,2026-02-01,121,AGUA SAN LUIS 600ML,1,1.5,1.5,Efectivo,Efectivo,MIGRACION_BASE
3391,2026-02-01,120,AGUA SAN LUIS 2.5L,1,4,4,Efectivo,Efectivo,MIGRACION_BASE
3390,2026-02-01,119,INKA 600 ML,2,3.5,7,Efectivo,Efectivo,MIGRACION_BASE
3389,2026-02-01,117,COCA COLA 1L,2,5.5,11,Efectivo,Efectivo,MIGRACION_BASE
3388,2026-02-01,115,COCA COLA 2.5L UNI,1,10,10,Efectivo,Efectivo,MIGRACION_BASE
3387,2026-02-01,114,JUGO WATTS UNI 1l,2,6.5,13,Efectivo,Efectivo,MIGRACION_BASE
3386,2026-02-01,110,BOTELLA CUZQUEÑA NEGRA PEQUEÑA UNI,1,5,5,Efectivo,Efectivo,MIGRACION_BASE
3385,2026-02-01,103,CUSQUEÑA LATASA TRIGO,4,6,24,Efectivo,Efectivo,MIGRACION_BASE
3384,2026-02-01,101,PILSEN LATASA UNIDAD,13,6,78,Efectivo,Efectivo,MIGRACION_BASE
3383,2026-02-01,96,SPARK,1,0,0,Efectivo,Efectivo,MIGRACION_BASE
3382,2026-02-01,91,JAGER 1L,1,0,0,Efectivo,Efectivo,MIGRACION_BASE
3381,2026-02-01,80,RUSSKAYA NEUTRO 750ML,1,27,27,Efectivo,Efectivo,MIGRACION_BASE
3380,2026-02-01,75,SMIRNOFF MANZANA,1,38,38,Efectivo,Efectivo,MIGRACION_BASE
3379,2026-02-01,55,TEQUILA JOSE CUERVO BLANCO,2,62,124,Efectivo,Efectivo,MIGRACION_BASE
3378,2026-02-01,40,CARTAVIO SELECTO 750ML,1,32,32,Efectivo,Efectivo,MIGRACION_BASE
3377,2026-02-01,36,CARTAVIO PETACA 125ML,1,6.5,6.5,Efectivo,Efectivo,MIGRACION_BASE
3376,2026-02-01,26,JACK DANIELS DORADO HONEY,1,89,89,Efectivo,Efectivo,MIGRACION_BASE
3375,2026-02-01,23,BALLANTINES,1,50,50,Efectivo,Efectivo,MIGRACION_BASE
3374,2026-02-01,6,Vino Queirolo moscatto,2,19,38,Efectivo,Efectivo,MIGRACION_BASE
3373,2026-01-31,151,ENCENDEDOR,2,1,2,Efectivo,Efectivo,MIGRACION_BASE
3372,2026-01-31,150,CIGARROS GOLDEN CAJAS (- 2uni),3,4,12,Efectivo,Efectivo,MIGRACION_BASE
3371,2026-01-31,146,CIGARROS LUCKY 20 UNI (UNIDAD),21,26,546,Efectivo,Efectivo,MIGRACION_BASE
3370,2026-01-31,144,HIELO,1,5,5,Efectivo,Efectivo,MIGRACION_BASE
3369,2026-01-31,140,CERVEZA PILSEN 620ML CA,17,7,119,Efectivo,Efectivo,MIGRACION_BASE
3368,2026-01-31,139,HALLS,1,1.5,1.5,Efectivo,Efectivo,MIGRACION_BASE
3367,2026-01-31,137,PIQUEO,2,2.5,5,Efectivo,Efectivo,MIGRACION_BASE
3366,2026-01-31,134,GATORADE,4,2.5,10,Efectivo,Efectivo,MIGRACION_BASE
3365,2026-01-31,130,SPRITE 2.5L,1,8,8,Efectivo,Efectivo,MIGRACION_BASE
3364,2026-01-31,128,GINGER EVERVESS,1,6.5,6.5,Efectivo,Efectivo,MIGRACION_BASE
3363,2026-01-31,125,AGUA SOCOSANI 600 ML,2,2,4,Efectivo,Efectivo,MIGRACION_BASE
3362,2026-01-31,121,AGUA SAN LUIS 600ML,2,1.5,3,Efectivo,Efectivo,MIGRACION_BASE
3361,2026-01-31,120,AGUA SAN LUIS 2.5L,1,4,4,Efectivo,Efectivo,MIGRACION_BASE
3360,2026-01-31,118,COCA 600 ML,5,3.5,17.5,Efectivo,Efectivo,MIGRACION_BASE
3359,2026-01-31,117,COCA COLA 1L,2,5.5,11,Efectivo,Efectivo,MIGRACION_BASE
3358,2026-01-31,116,COCA COLA  3L. UNI,1,13,13,Efectivo,Efectivo,MIGRACION_BASE
3357,2026-01-31,115,COCA COLA 2.5L UNI,5,10,50,Efectivo,Efectivo,MIGRACION_BASE
3356,2026-01-31,114,JUGO WATTS UNI 1l,2,6.5,13,Efectivo,Efectivo,MIGRACION_BASE
3355,2026-01-31,113,JUGO GLORIA UNI 1L,2,6,12,Efectivo,Efectivo,MIGRACION_BASE
3354,2026-01-31,112,JUGO DEL VALLE UNI 1L,1,6,6,Efectivo,Efectivo,MIGRACION_BASE
3353,2026-01-31,101,PILSEN LATASA UNIDAD,19,6,114,Efectivo,Efectivo,MIGRACION_BASE
3352,2026-01-31,100,HITT 700ML,5,13.5,67.5,Efectivo,Efectivo,MIGRACION_BASE
3351,2026-01-31,98,MIKES UNI,6,6.5,39,Efectivo,Efectivo,MIGRACION_BASE
3350,2026-01-31,97,FOUR LOKO UNI,5,12,60,Efectivo,Efectivo,MIGRACION_BASE
3349,2026-01-31,96,SPARK,1,0,0,Efectivo,Efectivo,MIGRACION_BASE
3348,2026-01-31,93,RED BULL,1,9,9,Efectivo,Efectivo,MIGRACION_BASE
3347,2026-01-31,92,BAILEYS,1,62,62,Efectivo,Efectivo,MIGRACION_BASE
3346,2026-01-31,91,JAGER 1L,2,0,0,Efectivo,Efectivo,MIGRACION_BASE
3345,2026-01-31,90,JAGER 700ML,3,0,0,Efectivo,Efectivo,MIGRACION_BASE
3344,2026-01-31,78,SMIRNOFF TAMARINDO,2,40,80,Efectivo,Efectivo,MIGRACION_BASE
3343,2026-01-31,75,SMIRNOFF MANZANA,1,38,38,Efectivo,Efectivo,MIGRACION_BASE
3342,2026-01-31,72,ANIS NAJAR 750 ML,1,38,38,Efectivo,Efectivo,MIGRACION_BASE
3341,2026-01-31,40,CARTAVIO SELECTO 750ML,1,32,32,Efectivo,Efectivo,MIGRACION_BASE
3340,2026-01-31,37,CARTAVIO CHATA 250 ML,2,12,24,Efectivo,Efectivo,MIGRACION_BASE
3339,2026-01-31,35,CARTAVIO BLACK 750 ML,2,27,54,Efectivo,Efectivo,MIGRACION_BASE
3338,2026-01-31,22,OLD PARR,1,105,105,Efectivo,Efectivo,MIGRACION_BASE
3337,2026-01-31,13,Vino Cuneo 1.5 L,2,24,48,Efectivo,Efectivo,MIGRACION_BASE
3336,2026-01-31,5,Vino Queirolo borgoña,1,19,19,Efectivo,Efectivo,MIGRACION_BASE
3335,2026-01-31,4,Vino Queirolo rose,1,19,19,Efectivo,Efectivo,MIGRACION_BASE
3334,2026-01-31,2,vino hacienda abuelo rose,1,20,20,Efectivo,Efectivo,MIGRACION_BASE
3333,2026-01-31,1,Vino Señorio Najar,2,20,40,Efectivo,Efectivo,MIGRACION_BASE
3332,2026-01-30,150,CIGARROS GOLDEN CAJAS (- 2uni),1,4,4,Efectivo,Efectivo,MIGRACION_BASE
3331,2026-01-30,148,CIGARROS PALL MAL (UNIDAD),5,17,85,Efectivo,Efectivo,MIGRACION_BASE
3330,2026-01-30,146,CIGARROS LUCKY 20 UNI (UNIDAD),8,26,208,Efectivo,Efectivo,MIGRACION_BASE
3329,2026-01-30,144,HIELO,1,5,5,Efectivo,Efectivo,MIGRACION_BASE
3328,2026-01-30,138,TRIDENT,1,1.5,1.5,Efectivo,Efectivo,MIGRACION_BASE
3327,2026-01-30,137,PIQUEO,2,2.5,5,Efectivo,Efectivo,MIGRACION_BASE
3326,2026-01-30,136,360 ENERGIZANTE,2,2.5,5,Efectivo,Efectivo,MIGRACION_BASE
3325,2026-01-30,135,VOLT ENERGIZANTE,1,2.5,2.5,Efectivo,Efectivo,MIGRACION_BASE
3324,2026-01-30,134,GATORADE,1,2.5,2.5,Efectivo,Efectivo,MIGRACION_BASE
3323,2026-01-30,130,SPRITE 2.5L,1,8,8,Efectivo,Efectivo,MIGRACION_BASE
3322,2026-01-30,128,GINGER EVERVESS,1,6.5,6.5,Efectivo,Efectivo,MIGRACION_BASE
3321,2026-01-30,124,AGUA CIELO 600 ML,1,1.5,1.5,Efectivo,Efectivo,MIGRACION_BASE
3320,2026-01-30,119,INKA 600 ML,1,3.5,3.5,Efectivo,Efectivo,MIGRACION_BASE
3319,2026-01-30,118,COCA 600 ML,3,3.5,10.5,Efectivo,Efectivo,MIGRACION_BASE
3318,2026-01-30,117,COCA COLA 1L,1,5.5,5.5,Efectivo,Efectivo,MIGRACION_BASE
3317,2026-01-30,116,COCA COLA  3L. UNI,1,13,13,Efectivo,Efectivo,MIGRACION_BASE
3316,2026-01-30,115,COCA COLA 2.5L UNI,4,10,40,Efectivo,Efectivo,MIGRACION_BASE
3315,2026-01-30,109,BOTELLA CUSQUEÑA TRIGO PEQUEÑA UNI,6,5,30,Efectivo,Efectivo,MIGRACION_BASE
3314,2026-01-30,102,PILSEN LATA 325ML PEQUEÑA,12,5,60,Efectivo,Efectivo,MIGRACION_BASE
3313,2026-01-30,101,PILSEN LATASA UNIDAD,30,6,180,Efectivo,Efectivo,MIGRACION_BASE
3312,2026-01-30,100,HITT 700ML,1,13.5,13.5,Efectivo,Efectivo,MIGRACION_BASE
3311,2026-01-30,98,MIKES UNI,6,6.5,39,Efectivo,Efectivo,MIGRACION_BASE
3310,2026-01-30,96,SPARK,3,0,0,Efectivo,Efectivo,MIGRACION_BASE
3309,2026-01-30,89,FERNET,1,46,46,Efectivo,Efectivo,MIGRACION_BASE
3308,2026-01-30,87,GIN BOTICARIO FRUTOS ROJOS,1,92,92,Efectivo,Efectivo,MIGRACION_BASE
3307,2026-01-30,78,SMIRNOFF TAMARINDO,1,40,40,Efectivo,Efectivo,MIGRACION_BASE
3306,2026-01-30,75,SMIRNOFF MANZANA,1,38,38,Efectivo,Efectivo,MIGRACION_BASE
3305,2026-01-30,74,SMIRNOFF NEUTRO,1,35,35,Efectivo,Efectivo,MIGRACION_BASE
3304,2026-01-30,51,BARCELO 1L,1,55,55,Efectivo,Efectivo,MIGRACION_BASE
3303,2026-01-30,47,FLOR DE CAÑA 4 AÑOS 750 ML,1,40,40,Efectivo,Efectivo,MIGRACION_BASE
3302,2026-01-30,37,CARTAVIO CHATA 250 ML,2,12,24,Efectivo,Efectivo,MIGRACION_BASE
3301,2026-01-30,35,CARTAVIO BLACK 750 ML,1,27,27,Efectivo,Efectivo,MIGRACION_BASE
3300,2026-01-30,24,SOMETHING SPECIAL PACK,1,52,52,Efectivo,Efectivo,MIGRACION_BASE
3299,2026-01-30,13,Vino Cuneo 1.5 L,1,24,24,Efectivo,Efectivo,MIGRACION_BASE
3298,2026-01-30,3,Vino Hacienda Abuelo borgoña,3,20,60,Efectivo,Efectivo,MIGRACION_BASE
3297,2026-01-30,2,vino hacienda abuelo rose,1,20,20,Efectivo,Efectivo,MIGRACION_BASE
3296,2026-01-29,151,ENCENDEDOR,2,1,2,Efectivo,Efectivo,MIGRACION_BASE
3295,2026-01-29,150,CIGARROS GOLDEN CAJAS (- 2uni),1,4,4,Efectivo,Efectivo,MIGRACION_BASE
3294,2026-01-29,147,MARLBORO CANELA,3,26,78,Efectivo,Efectivo,MIGRACION_BASE
3293,2026-01-29,146,CIGARROS LUCKY 20 UNI (UNIDAD),7,26,182,Efectivo,Efectivo,MIGRACION_BASE
3292,2026-01-29,145,CIGARROS LUCKY 10 UNI (CAJAS),1,14,14,Efectivo,Efectivo,MIGRACION_BASE
3291,2026-01-29,144,HIELO,1,5,5,Efectivo,Efectivo,MIGRACION_BASE
3290,2026-01-29,138,TRIDENT,2,1.5,3,Efectivo,Efectivo,MIGRACION_BASE
3289,2026-01-29,134,GATORADE,1,2.5,2.5,Efectivo,Efectivo,MIGRACION_BASE
3288,2026-01-29,124,AGUA CIELO 600 ML,1,1.5,1.5,Efectivo,Efectivo,MIGRACION_BASE
3287,2026-01-29,120,AGUA SAN LUIS 2.5L,1,4,4,Efectivo,Efectivo,MIGRACION_BASE
3286,2026-01-29,119,INKA 600 ML,1,3.5,3.5,Efectivo,Efectivo,MIGRACION_BASE
3285,2026-01-29,115,COCA COLA 2.5L UNI,4,10,40,Efectivo,Efectivo,MIGRACION_BASE
3284,2026-01-29,109,BOTELLA CUSQUEÑA TRIGO PEQUEÑA UNI,6,5,30,Efectivo,Efectivo,MIGRACION_BASE
3283,2026-01-29,102,PILSEN LATA 325ML PEQUEÑA,6,5,30,Efectivo,Efectivo,MIGRACION_BASE
3282,2026-01-29,101,PILSEN LATASA UNIDAD,6,6,36,Efectivo,Efectivo,MIGRACION_BASE
3281,2026-01-29,97,FOUR LOKO UNI,1,12,12,Efectivo,Efectivo,MIGRACION_BASE
3280,2026-01-29,93,RED BULL,1,9,9,Efectivo,Efectivo,MIGRACION_BASE
3279,2026-01-29,51,BARCELO 1L,1,55,55,Efectivo,Efectivo,MIGRACION_BASE
3278,2026-01-29,47,FLOR DE CAÑA 4 AÑOS 750 ML,2,40,80,Efectivo,Efectivo,MIGRACION_BASE
3277,2026-01-29,35,CARTAVIO BLACK 750 ML,1,27,27,Efectivo,Efectivo,MIGRACION_BASE
3276,2026-01-29,33,OLD TIMES NEGRO 750 ml,1,28,28,Efectivo,Efectivo,MIGRACION_BASE
3275,2026-01-29,3,Vino Hacienda Abuelo borgoña,4,20,80,Efectivo,Efectivo,MIGRACION_BASE
3274,2026-01-28,148,CIGARROS PALL MAL (UNIDAD),6,17,102,Efectivo,Efectivo,MIGRACION_BASE
3273,2026-01-28,146,CIGARROS LUCKY 20 UNI (UNIDAD),10,26,260,Efectivo,Efectivo,MIGRACION_BASE
3272,2026-01-28,145,CIGARROS LUCKY 10 UNI (CAJAS),1,14,14,Efectivo,Efectivo,MIGRACION_BASE
3271,2026-01-28,139,HALLS,1,1.5,1.5,Efectivo,Efectivo,MIGRACION_BASE
3270,2026-01-28,134,GATORADE,1,2.5,2.5,Efectivo,Efectivo,MIGRACION_BASE
3269,2026-01-28,130,SPRITE 2.5L,1,8,8,Efectivo,Efectivo,MIGRACION_BASE
3268,2026-01-28,128,GINGER EVERVESS,2,6.5,13,Efectivo,Efectivo,MIGRACION_BASE
3267,2026-01-28,123,"AGUA CIELO 2,5L",1,4,4,Efectivo,Efectivo,MIGRACION_BASE
3266,2026-01-28,121,AGUA SAN LUIS 600ML,1,1.5,1.5,Efectivo,Efectivo,MIGRACION_BASE
3265,2026-01-28,119,INKA 600 ML,2,3.5,7,Efectivo,Efectivo,MIGRACION_BASE
3264,2026-01-28,118,COCA 600 ML,4,3.5,14,Efectivo,Efectivo,MIGRACION_BASE
3263,2026-01-28,115,COCA COLA 2.5L UNI,1,10,10,Efectivo,Efectivo,MIGRACION_BASE
3262,2026-01-28,111,TRES CRUCES UNI,6,4.5,27,Efectivo,Efectivo,MIGRACION_BASE
3261,2026-01-28,98,MIKES UNI,8,6.5,52,Efectivo,Efectivo,MIGRACION_BASE
3260,2026-01-28,97,FOUR LOKO UNI,1,12,12,Efectivo,Efectivo,MIGRACION_BASE
3259,2026-01-28,83,RUSSKAYA VERDE 750ML,2,28,56,Efectivo,Efectivo,MIGRACION_BASE
3258,2026-01-28,65,PISCO CUATRO GALLOS QUEBRANTA,1,46,46,Efectivo,Efectivo,MIGRACION_BASE
3257,2026-01-28,42,CARTAVIO RESERVA 750ML,1,40,40,Efectivo,Efectivo,MIGRACION_BASE
3256,2026-01-28,37,CARTAVIO CHATA 250 ML,1,12,12,Efectivo,Efectivo,MIGRACION_BASE
3255,2026-01-28,1,Vino Señorio Najar,4,20,80,Efectivo,Efectivo,MIGRACION_BASE
3254,2026-01-26,151,ENCENDEDOR,1,1,1,Efectivo,Efectivo,MIGRACION_BASE
3253,2026-01-26,150,CIGARROS GOLDEN CAJAS (- 2uni),3,4,12,Efectivo,Efectivo,MIGRACION_BASE
3252,2026-01-26,147,MARLBORO CANELA,2,26,52,Efectivo,Efectivo,MIGRACION_BASE
3251,2026-01-26,146,CIGARROS LUCKY 20 UNI (UNIDAD),8,26,208,Efectivo,Efectivo,MIGRACION_BASE
3250,2026-01-26,145,CIGARROS LUCKY 10 UNI (CAJAS),2,14,28,Efectivo,Efectivo,MIGRACION_BASE
3249,2026-01-26,138,TRIDENT,2,1.5,3,Efectivo,Efectivo,MIGRACION_BASE
3248,2026-01-26,126,AGUA SOCOSANI 1.5L,1,4,4,Efectivo,Efectivo,MIGRACION_BASE
3247,2026-01-26,121,AGUA SAN LUIS 600ML,1,1.5,1.5,Efectivo,Efectivo,MIGRACION_BASE
3246,2026-01-26,120,AGUA SAN LUIS 2.5L,3,4,12,Efectivo,Efectivo,MIGRACION_BASE
3245,2026-01-26,119,INKA 600 ML,1,3.5,3.5,Efectivo,Efectivo,MIGRACION_BASE
3244,2026-01-26,118,COCA 600 ML,1,3.5,3.5,Efectivo,Efectivo,MIGRACION_BASE
